repo_index,generation_time_sec,input_depth,input_max_branch,input_min_branch,input_tree_type,input_num_roa,input_seed,depth,num_ca,max_branch,leaf_count,num_roa,num_mft,num_crl,num_cert
53,5.547,36,1,1,full,2,124,35,36,1,1,72,36,36,37
54,4.877,32,1,1,sparse,3,125,31,32,1,1,96,32,32,33
55,10.394,74,1,1,full,3,126,73,74,1,1,222,74,74,75
56,0.942,6,1,1,full,2,127,5,6,1,1,12,6,6,7
57,1.249,41,2,1,random,2,131,4,6,2,2,12,6,6,9
58,6.94,53,1,1,full,1,132,52,53,1,1,53,53,53,54
59,7.734,64,2,2,random,3,133,15,35,2,7,105,35,35,52
60,9.266,62,1,1,full,3,134,61,62,1,1,186,62,62,63
61,9.023,86,2,2,random,2,135,15,48,2,8,96,48,48,69
62,1.41,74,2,1,random,2,136,3,6,2,2,12,6,6,10
63,0.259,10,1,1,random,1,137,0,1,0,1,1,1,1,2
64,0.375,1,2,1,sparse,2,139,0,1,0,1,2,1,1,2
65,0.263,99,1,1,random,1,140,0,1,0,1,1,1,1,2
66,9.541,67,1,1,full,3,141,66,67,1,1,201,67,67,68
67,1.133,75,2,1,random,2,142,5,6,1,1,12,6,6,8
68,3.062,24,1,1,full,1,143,23,24,1,1,24,24,24,25
69,8.39,58,1,1,full,3,144,57,58,1,1,174,58,58,59
70,22.135,97,2,1,random,1,145,32,115,2,31,115,115,115,173
71,2.374,18,1,1,full,1,146,17,18,1,1,18,18,18,19
72,0.888,78,1,1,random,3,147,3,4,1,1,12,4,4,5
73,0.364,52,1,1,random,2,148,0,1,0,1,2,1,1,2
74,0.261,10,1,1,random,1,149,0,1,0,1,1,1,1,2
75,4.435,91,2,1,random,2,151,11,23,2,5,46,23,23,35
76,0.612,97,2,1,random,1,152,2,3,1,1,3,3,3,6
77,0.371,63,1,1,random,3,153,0,1,0,1,3,1,1,2
78,1.018,63,2,1,random,1,156,3,4,1,1,4,4,4,7
79,11.36,88,1,1,full,2,158,87,88,1,1,176,88,88,89
80,7.262,51,1,1,full,3,159,50,51,1,1,153,51,51,52
81,9.59,67,1,1,full,3,161,66,67,1,1,201,67,67,68
82,0.246,7,1,1,random,2,162,0,1,0,1,2,1,1,2
83,1.19,70,2,1,random,2,163,3,5,2,2,10,5,5,8
84,1.783,13,2,2,random,2,164,7,10,2,2,20,10,10,13
85,0.58,3,1,1,full,2,165,2,3,1,1,6,3,3,4
86,0.333,30,1,1,random,2,167,0,1,0,1,2,1,1,2
87,0.427,96,1,1,random,1,168,2,3,1,1,3,3,3,4
88,4.674,33,1,1,sparse,2,169,32,33,1,1,66,33,33,34
89,0.289,46,1,1,random,2,172,0,1,0,1,2,1,1,2
90,0.327,1,2,1,random,2,174,0,1,0,1,2,1,1,2
91,8.214,57,1,1,sparse,3,175,56,57,1,1,171,57,57,58
92,0.648,4,1,1,full,2,176,3,4,1,1,8,4,4,5
93,1.891,15,2,1,random,3,178,7,9,2,2,27,9,9,13
94,3.944,26,1,1,full,3,179,25,26,1,1,78,26,26,27
95,2.446,19,1,1,sparse,2,180,18,19,1,1,38,19,19,20
96,0.256,75,1,1,random,2,181,0,1,0,1,2,1,1,2
97,0.377,14,1,1,random,2,183,0,1,0,1,2,1,1,2
98,5.253,36,1,1,sparse,3,184,35,36,1,1,108,36,36,37
99,0.317,15,1,1,random,3,185,0,1,0,1,3,1,1,2
100,11.092,91,1,1,full,1,188,90,91,1,1,91,91,91,92
101,0.307,10,1,1,random,1,190,0,1,0,1,1,1,1,2
102,14.292,98,1,1,sparse,3,191,97,98,1,1,294,98,98,99
103,1.584,48,2,1,random,2,192,8,10,2,2,20,10,10,13
104,1.634,72,2,1,random,3,193,4,6,2,2,18,6,6,10
105,0.349,78,1,1,random,2,194,0,1,0,1,2,1,1,2
106,0.316,84,1,1,random,3,196,0,1,0,1,3,1,1,2
107,8.659,70,1,1,full,1,197,69,70,1,1,70,70,70,71
108,8.071,7,2,1,sparse,3,198,6,38,2,14,114,38,38,59
109,1.085,6,1,1,full,3,200,5,6,1,1,18,6,6,7
110,1.617,98,2,2,random,1,202,4,9,2,3,9,9,9,13
111,1.867,12,1,1,sparse,1,203,11,12,1,1,12,12,12,13
112,7.146,51,1,1,full,2,204,50,51,1,1,102,51,51,52
113,0.429,2,1,1,sparse,1,206,1,2,1,1,2,2,2,3
114,9.756,65,1,1,full,3,207,64,65,1,1,195,65,65,66
115,5.401,36,1,1,sparse,3,208,35,36,1,1,108,36,36,37
116,9.408,72,1,1,sparse,2,209,71,72,1,1,144,72,72,73
117,7.297,50,1,1,full,3,210,49,50,1,1,150,50,50,51
118,0.258,51,1,1,random,3,212,0,1,0,1,3,1,1,2
119,0.437,20,2,1,random,1,213,1,2,1,1,2,2,2,3
120,1.694,67,2,2,random,3,214,5,8,2,3,24,8,8,12
121,1.066,6,2,1,random,1,215,2,4,2,2,4,4,4,6
122,0.316,27,1,1,random,1,216,0,1,0,1,1,1,1,2
123,0.242,37,1,1,random,3,217,0,1,0,1,3,1,1,2
124,5.524,39,1,1,sparse,2,218,38,39,1,1,78,39,39,40
125,2.071,90,2,1,random,3,219,9,10,1,1,30,10,10,15
126,0.222,96,1,1,random,2,220,0,1,0,1,2,1,1,2
127,0.413,32,2,1,random,2,221,1,2,1,1,4,2,2,3
128,0.284,100,1,1,random,2,222,0,1,0,1,2,1,1,2
129,1.544,9,1,1,full,3,224,8,9,1,1,27,9,9,10
130,13.173,90,1,1,sparse,3,225,89,90,1,1,270,90,90,91
131,8.817,62,1,1,full,2,226,61,62,1,1,124,62,62,63
132,1.199,52,2,1,random,1,227,3,7,2,3,7,7,7,11
133,13.725,97,1,1,full,2,228,96,97,1,1,194,97,97,98
134,9.323,68,1,1,sparse,2,229,67,68,1,1,136,68,68,69
135,14.0,91,1,1,sparse,3,230,90,91,1,1,273,91,91,92
136,0.271,3,1,1,random,3,231,0,1,0,1,3,1,1,2
137,5.002,36,1,1,full,1,232,35,36,1,1,36,36,36,37
138,0.338,88,1,1,random,3,233,0,1,0,1,3,1,1,2
139,5.612,45,1,1,full,1,235,44,45,1,1,45,45,45,46
140,7.018,48,1,1,sparse,3,238,47,48,1,1,144,48,48,49
141,0.262,16,1,1,random,1,239,0,1,0,1,1,1,1,2
142,0.376,79,1,1,random,1,240,0,1,0,1,1,1,1,2
143,12.77,89,1,1,sparse,3,241,88,89,1,1,267,89,89,90
144,6.564,43,1,1,sparse,3,242,42,43,1,1,129,43,43,44
145,0.8,59,2,1,random,2,247,2,4,2,2,8,4,4,6
146,12.827,100,1,1,sparse,1,252,99,100,1,1,100,100,100,101
147,5.142,8,2,1,random,3,255,7,23,2,7,69,23,23,35
148,1.224,63,2,2,random,2,256,4,7,2,2,14,7,7,9
149,3.849,41,2,1,random,3,257,9,15,2,5,45,15,15,26
150,11.922,84,1,1,sparse,2,258,83,84,1,1,168,84,84,85
151,0.88,6,1,1,sparse,2,259,5,6,1,1,12,6,6,7
152,4.325,27,1,1,sparse,3,260,26,27,1,1,81,27,27,28
153,8.338,56,1,1,full,3,261,55,56,1,1,168,56,56,57
154,9.844,41,2,2,random,2,262,20,49,2,11,98,49,49,73
155,2.661,51,2,2,random,3,265,5,11,2,3,33,11,11,17
156,1.171,9,1,1,sparse,1,266,8,9,1,1,9,9,9,10
157,0.282,26,1,1,random,1,267,0,1,0,1,1,1,1,2
158,0.511,97,2,1,random,1,268,1,2,1,1,2,2,2,4
159,0.923,6,1,1,sparse,2,269,5,6,1,1,12,6,6,7
160,3.669,25,1,1,sparse,3,273,24,25,1,1,75,25,25,26
161,0.719,19,2,2,random,1,274,3,4,1,1,4,4,4,5
162,13.1,98,1,1,sparse,2,275,97,98,1,1,196,98,98,99
163,0.237,48,1,1,random,2,276,0,1,0,1,2,1,1,2
164,1.599,12,1,1,sparse,1,277,11,12,1,1,12,12,12,13
165,0.853,53,2,1,random,1,279,1,3,2,2,3,3,3,5
166,2.309,3,2,2,full,2,281,2,7,2,4,14,7,7,15
167,12.406,86,1,1,sparse,3,282,85,86,1,1,258,86,86,87
168,12.873,93,1,1,sparse,2,283,92,93,1,1,186,93,93,94
169,8.719,5,2,2,full,2,284,4,31,2,16,62,31,31,63
170,7.869,63,1,1,sparse,1,286,62,63,1,1,63,63,63,64
171,0.511,72,1,1,random,1,287,2,3,1,1,3,3,3,4
172,5.312,37,2,2,random,1,288,13,31,2,8,31,31,31,45
173,52.008,85,2,1,random,3,291,40,228,2,43,684,228,228,356
174,14.892,99,1,1,full,3,292,98,99,1,1,297,99,99,100
175,3.529,23,1,1,full,3,294,22,23,1,1,69,23,23,24
176,0.355,27,1,1,random,3,298,0,1,0,1,3,1,1,2
177,0.298,47,1,1,random,3,299,0,1,0,1,3,1,1,2
178,1.04,5,1,1,full,3,303,4,5,1,1,15,5,5,6
179,2.908,18,1,1,sparse,2,304,17,18,1,1,36,18,18,19
180,6.754,56,1,1,sparse,1,306,55,56,1,1,56,56,56,57
181,0.253,24,1,1,random,2,308,0,1,0,1,2,1,1,2
182,9.744,71,1,1,sparse,2,310,70,71,1,1,142,71,71,72
183,24.655,34,2,1,random,2,311,33,119,2,30,238,119,119,184
184,12.386,84,1,1,full,3,312,83,84,1,1,252,84,84,85
185,0.525,73,1,1,random,1,313,2,3,1,1,3,3,3,4
186,0.625,4,1,1,full,1,316,3,4,1,1,4,4,4,5
187,7.668,60,1,1,full,1,317,59,60,1,1,60,60,60,61
188,0.673,90,1,1,random,2,318,3,4,1,1,8,4,4,5
189,3.166,23,1,1,sparse,1,319,22,23,1,1,23,23,23,24
190,8.148,58,1,1,sparse,2,320,57,58,1,1,116,58,58,59
191,4.102,36,2,1,random,3,321,11,19,2,4,57,19,19,27
192,12.471,94,1,1,sparse,2,323,93,94,1,1,188,94,94,95
193,10.742,76,1,1,full,3,324,75,76,1,1,228,76,76,77
194,10.442,71,1,1,sparse,3,325,70,71,1,1,213,71,71,72
195,7.517,83,2,2,random,1,328,16,41,2,8,41,41,41,61
196,0.309,80,1,1,random,3,330,0,1,0,1,3,1,1,2
197,2.82,19,1,1,sparse,2,335,18,19,1,1,38,19,19,20
198,0.353,1,1,1,sparse,2,336,0,1,0,1,2,1,1,2
199,0.783,15,2,2,random,2,338,4,5,1,1,10,5,5,6
200,2.799,19,1,1,full,3,339,18,19,1,1,57,19,19,20
201,7.429,52,1,1,sparse,2,340,51,52,1,1,104,52,52,53
202,2.335,16,1,1,full,1,342,15,16,1,1,16,16,16,17
203,0.541,25,2,1,random,3,343,1,2,1,1,6,2,2,3
204,16.136,49,2,1,random,3,344,21,77,2,18,231,77,77,114
205,10.286,72,1,1,sparse,2,346,71,72,1,1,144,72,72,73
206,2.019,45,2,2,random,1,347,6,10,2,3,10,10,10,15
207,5.697,41,1,1,full,2,348,40,41,1,1,82,41,41,42
208,6.787,47,1,1,sparse,2,350,46,47,1,1,94,47,47,48
209,5.041,37,1,1,sparse,2,352,36,37,1,1,74,37,37,38
210,2.007,13,1,1,sparse,1,353,12,13,1,1,13,13,13,14
211,3.658,28,1,1,sparse,1,354,27,28,1,1,28,28,28,29
212,0.333,21,1,1,random,1,355,0,1,0,1,1,1,1,2
213,0.966,84,1,1,random,2,356,6,7,1,1,14,7,7,8
214,0.385,98,1,1,random,3,358,0,1,0,1,3,1,1,2
215,0.618,79,1,1,random,2,361,3,4,1,1,8,4,4,5
216,13.035,100,1,1,sparse,1,363,99,100,1,1,100,100,100,101
217,0.258,1,1,1,full,1,364,0,1,0,1,1,1,1,2
218,2.668,87,2,1,random,3,365,9,10,1,1,30,10,10,18
219,0.992,5,2,1,random,1,367,3,5,2,2,5,5,5,8
220,8.585,62,1,1,full,1,368,61,62,1,1,62,62,62,63
221,0.754,5,1,1,sparse,1,373,4,5,1,1,5,5,5,6
222,6.268,43,1,1,full,3,374,42,43,1,1,129,43,43,44
223,2.13,87,2,2,random,1,376,4,10,2,3,10,10,10,15
224,4.228,31,1,1,full,1,377,30,31,1,1,31,31,31,32
225,1.956,3,2,2,sparse,2,378,2,7,2,4,14,7,7,15
226,0.738,4,1,1,sparse,3,379,3,4,1,1,12,4,4,5
227,0.335,8,2,1,random,1,382,1,2,1,1,2,2,2,3
228,7.19,57,1,1,full,1,387,56,57,1,1,57,57,57,58
229,8.607,73,1,1,full,1,390,72,73,1,1,73,73,73,74
230,8.547,64,1,1,sparse,1,391,63,64,1,1,64,64,64,65
231,3.991,31,1,1,sparse,1,394,30,31,1,1,31,31,31,32
232,32.211,7,2,2,sparse,1,396,6,127,2,64,127,127,127,255
233,0.388,16,1,1,random,3,397,0,1,0,1,3,1,1,2
234,0.779,5,1,1,sparse,1,399,4,5,1,1,5,5,5,6
235,0.344,64,1,1,random,3,401,0,1,0,1,3,1,1,2
236,0.262,63,1,1,random,2,402,0,1,0,1,2,1,1,2
237,25.616,12,2,1,sparse,1,404,11,140,2,43,140,140,140,206
238,1.005,6,1,1,full,3,405,5,6,1,1,18,6,6,7
239,11.285,85,1,1,sparse,2,407,84,85,1,1,170,85,85,86
240,4.276,28,1,1,full,3,411,27,28,1,1,84,28,28,29
241,5.197,37,1,1,full,1,412,36,37,1,1,37,37,37,38
242,0.635,100,2,1,random,1,415,1,2,1,1,2,2,2,4
243,4.484,33,1,1,sparse,2,416,32,33,1,1,66,33,33,34
244,10.717,77,1,1,sparse,2,417,76,77,1,1,154,77,77,78
245,0.656,42,2,1,random,1,418,1,3,2,2,3,3,3,5
246,0.246,80,1,1,random,2,419,0,1,0,1,2,1,1,2
247,0.922,4,2,2,random,1,420,3,5,2,2,5,5,5,7
248,2.065,50,2,1,random,3,422,5,9,2,3,27,9,9,14
249,5.367,42,1,1,full,2,423,41,42,1,1,84,42,42,43
250,0.386,54,1,1,random,1,425,0,1,0,1,1,1,1,2
251,4.639,33,1,1,full,3,428,32,33,1,1,99,33,33,34
252,0.344,77,1,1,random,1,429,0,1,0,1,1,1,1,2
253,4.268,35,1,1,full,1,430,34,35,1,1,35,35,35,36
254,5.7,38,1,1,full,3,431,37,38,1,1,114,38,38,39
255,0.906,75,2,1,random,2,432,3,4,1,1,8,4,4,7
256,0.332,47,1,1,random,3,434,0,1,0,1,3,1,1,2
257,4.299,27,1,1,sparse,3,438,26,27,1,1,81,27,27,28
258,38.104,52,2,2,random,2,439,51,189,2,46,378,189,189,281
259,0.215,16,1,1,random,1,440,0,1,0,1,1,1,1,2
260,5.42,23,2,1,random,1,441,12,26,2,5,26,26,26,40
261,2.212,47,2,2,random,2,442,7,13,2,3,26,13,13,18
262,13.52,97,1,1,sparse,3,443,96,97,1,1,291,97,97,98
263,24.846,40,2,1,random,2,444,39,119,2,27,238,119,119,181
264,8.231,62,1,1,full,2,446,61,62,1,1,124,62,62,63
265,0.36,53,1,1,random,3,447,0,1,0,1,3,1,1,2
266,0.366,36,1,1,random,1,448,0,1,0,1,1,1,1,2
267,3.791,25,1,1,sparse,2,449,24,25,1,1,50,25,25,26
268,0.744,13,2,1,random,1,450,3,4,1,1,4,4,4,6
269,0.815,6,1,1,sparse,2,451,5,6,1,1,12,6,6,7
270,20.797,44,2,2,random,1,452,32,119,2,26,119,119,119,172
271,12.773,93,1,1,sparse,3,455,92,93,1,1,279,93,93,94
272,2.251,96,2,2,random,2,456,9,14,2,3,28,14,14,21
273,12.801,97,1,1,sparse,2,457,96,97,1,1,194,97,97,98
274,10.239,84,1,1,sparse,1,459,83,84,1,1,84,84,84,85
275,10.141,39,2,1,random,3,460,15,47,2,12,141,47,47,70
276,9.363,76,1,1,sparse,1,462,75,76,1,1,76,76,76,77
277,4.91,35,1,1,full,2,464,34,35,1,1,70,35,35,36
278,3.539,25,1,1,sparse,1,465,24,25,1,1,25,25,25,26
279,1.024,7,1,1,full,1,466,6,7,1,1,7,7,7,8
280,2.938,34,2,2,random,3,469,7,12,2,3,36,12,12,20
281,18.083,6,2,1,full,3,470,5,63,2,32,189,63,63,127
282,11.596,87,1,1,sparse,2,471,86,87,1,1,174,87,87,88
283,2.659,20,1,1,full,3,472,19,20,1,1,60,20,20,21
284,1.189,9,1,1,full,2,474,8,9,1,1,18,9,9,10
285,1.282,9,1,1,sparse,2,475,8,9,1,1,18,9,9,10
286,3.776,79,2,1,random,3,477,10,14,2,3,42,14,14,23
287,5.351,42,1,1,sparse,1,478,41,42,1,1,42,42,42,43
288,6.99,54,1,1,full,1,479,53,54,1,1,54,54,54,55
289,0.59,74,1,1,random,1,484,2,3,1,1,3,3,3,4
290,0.329,18,1,1,random,2,485,0,1,0,1,2,1,1,2
291,0.308,23,1,1,random,1,486,0,1,0,1,1,1,1,2
292,10.844,15,2,2,random,3,488,14,55,2,12,165,55,55,77
293,0.496,79,1,1,random,1,492,2,3,1,1,3,3,3,4
294,36.271,33,2,2,random,3,493,32,164,2,41,492,164,164,252
295,11.966,81,1,1,full,3,494,80,81,1,1,243,81,81,82
296,10.677,88,1,1,sparse,1,495,87,88,1,1,88,88,88,89
297,4.914,34,1,1,full,2,497,33,34,1,1,68,34,34,35
298,0.303,15,1,1,random,3,499,0,1,0,1,3,1,1,2
299,3.062,22,1,1,sparse,1,503,21,22,1,1,22,22,22,23
300,15.665,20,2,2,random,2,505,19,80,2,18,160,80,80,119
301,3.169,97,2,2,random,3,506,9,14,2,3,42,14,14,21
302,8.381,62,1,1,sparse,1,507,61,62,1,1,62,62,62,63
303,0.544,88,2,2,random,1,510,2,3,1,1,3,3,3,5
304,0.436,3,2,1,random,2,512,1,2,1,1,4,2,2,3
305,0.505,3,1,1,sparse,1,513,2,3,1,1,3,3,3,4
306,6.878,46,1,1,full,2,514,45,46,1,1,92,46,46,47
307,12.832,94,1,1,full,2,516,93,94,1,1,188,94,94,95
308,1.782,56,2,1,random,1,517,5,9,2,3,9,9,9,15
309,0.499,78,2,1,random,1,519,1,2,1,1,2,2,2,4
310,0.233,2,1,1,random,1,520,0,1,0,1,1,1,1,2
311,0.254,13,1,1,random,2,521,0,1,0,1,2,1,1,2
312,1.643,10,1,1,sparse,1,522,9,10,1,1,10,10,10,11
313,0.269,29,1,1,random,2,524,0,1,0,1,2,1,1,2
314,10.06,70,1,1,full,3,525,69,70,1,1,210,70,70,71
315,2.819,20,1,1,full,2,526,19,20,1,1,40,20,20,21
316,5.511,56,2,1,random,1,527,12,28,2,6,28,28,28,42
317,2.054,8,2,1,random,2,528,7,9,2,2,18,9,9,15
318,12.235,84,1,1,sparse,3,529,83,84,1,1,252,84,84,85
319,6.166,43,1,1,sparse,2,530,42,43,1,1,86,43,43,44
320,13.302,94,1,1,sparse,2,531,93,94,1,1,188,94,94,95
321,0.364,27,1,1,random,2,532,0,1,0,1,2,1,1,2
322,0.21,49,1,1,random,2,533,0,1,0,1,2,1,1,2
323,6.752,55,1,1,sparse,1,534,54,55,1,1,55,55,55,56
324,12.599,96,1,1,sparse,2,536,95,96,1,1,192,96,96,97
325,0.6,35,2,1,random,1,538,1,3,2,2,3,3,3,5
326,5.717,38,1,1,full,3,539,37,38,1,1,114,38,38,39
327,6.668,79,2,1,random,2,540,15,35,2,9,70,35,35,53
328,0.266,46,1,1,random,1,541,0,1,0,1,1,1,1,2
329,0.232,62,1,1,random,1,542,0,1,0,1,1,1,1,2
330,0.429,83,1,1,random,3,543,0,1,0,1,3,1,1,2
331,4.521,86,2,1,random,3,544,10,22,2,5,66,22,22,33
332,0.231,28,1,1,random,1,545,0,1,0,1,1,1,1,2
333,0.323,2,2,2,random,1,546,1,2,1,1,2,2,2,3
334,0.343,6,1,1,random,2,547,0,1,0,1,2,1,1,2
335,0.938,5,1,1,full,2,548,4,5,1,1,10,5,5,6
336,12.023,83,1,1,full,3,549,82,83,1,1,249,83,83,84
337,7.927,66,1,1,full,1,551,65,66,1,1,66,66,66,67
338,0.393,3,1,1,sparse,1,552,2,3,1,1,3,3,3,4
339,8.441,61,1,1,full,2,553,60,61,1,1,122,61,61,62
340,0.642,66,2,1,random,1,554,1,2,1,1,2,2,2,4
341,0.281,4,1,1,random,3,557,0,1,0,1,3,1,1,2
342,0.66,2,2,2,random,3,559,1,2,1,1,6,2,2,4
343,13.313,98,1,1,sparse,2,560,97,98,1,1,196,98,98,99
344,10.151,76,1,1,sparse,2,561,75,76,1,1,152,76,76,77
345,5.073,38,1,1,full,2,564,37,38,1,1,76,38,38,39
346,6.689,82,2,2,random,3,565,16,29,2,6,87,29,29,42
347,1.105,63,2,1,random,1,566,2,5,2,3,5,5,5,8
348,1.875,14,1,1,sparse,2,568,13,14,1,1,28,14,14,15
349,10.658,80,1,1,full,2,569,79,80,1,1,160,80,80,81
350,0.242,10,1,1,random,1,570,0,1,0,1,1,1,1,2
351,1.901,28,2,2,random,3,572,8,9,1,1,27,9,9,13
352,5.421,40,1,1,full,2,574,39,40,1,1,80,40,40,41
353,5.821,40,1,1,full,2,575,39,40,1,1,80,40,40,41
354,2.485,51,2,1,random,2,577,5,12,2,3,24,12,12,18
355,0.287,92,1,1,random,2,581,0,1,0,1,2,1,1,2
356,0.2,27,1,1,random,1,582,0,1,0,1,1,1,1,2
357,8.609,69,1,1,sparse,1,583,68,69,1,1,69,69,69,70
358,0.276,8,1,1,random,3,585,0,1,0,1,3,1,1,2
359,4.348,16,2,1,random,3,589,13,18,2,3,54,18,18,28
360,0.225,4,1,1,random,2,590,0,1,0,1,2,1,1,2
361,0.542,71,2,1,random,1,591,2,3,1,1,3,3,3,6
362,0.986,17,2,1,random,1,594,4,5,1,1,5,5,5,8
363,7.038,52,1,1,full,1,596,51,52,1,1,52,52,52,53
364,0.218,13,1,1,random,1,597,0,1,0,1,1,1,1,2
365,4.854,13,2,1,random,2,598,12,23,2,5,46,23,23,34
366,12.428,91,1,1,full,3,599,90,91,1,1,273,91,91,92
367,0.273,25,1,1,random,3,601,0,1,0,1,3,1,1,2
368,7.36,52,1,1,sparse,3,602,51,52,1,1,156,52,52,53
369,0.333,9,1,1,random,3,604,0,1,0,1,3,1,1,2
370,13.324,95,1,1,sparse,2,606,94,95,1,1,190,95,95,96
371,12.416,90,1,1,full,2,607,89,90,1,1,180,90,90,91
372,2.723,17,1,1,sparse,3,608,16,17,1,1,51,17,17,18
373,1.872,57,2,2,random,2,610,5,9,2,2,18,9,9,13
374,3.972,29,1,1,full,2,612,28,29,1,1,58,29,29,30
375,5.155,36,1,1,sparse,2,613,35,36,1,1,72,36,36,37
376,5.427,33,1,1,full,3,614,32,33,1,1,99,33,33,34
377,1.45,4,2,1,random,3,616,3,6,2,2,18,6,6,10
378,1.964,89,2,2,random,2,617,6,11,2,3,22,11,11,16
379,7.713,59,1,1,full,2,618,58,59,1,1,118,59,59,60
380,0.354,66,1,1,random,3,619,0,1,0,1,3,1,1,2
381,29.818,41,2,2,random,3,621,38,146,2,33,438,146,146,213
382,5.058,38,1,1,sparse,2,622,37,38,1,1,76,38,38,39
383,17.168,6,2,1,full,2,623,5,63,2,32,126,63,63,127
384,3.516,25,1,1,full,2,624,24,25,1,1,50,25,25,26
385,20.546,53,2,1,random,2,625,43,100,2,23,200,100,100,151
386,6.769,47,1,1,full,3,626,46,47,1,1,141,47,47,48
387,4.586,33,1,1,full,1,627,32,33,1,1,33,33,33,34
388,0.358,51,1,1,random,1,628,0,1,0,1,1,1,1,2
389,30.612,7,2,2,sparse,1,629,6,127,2,64,127,127,127,255
390,8.256,59,1,1,sparse,2,630,58,59,1,1,118,59,59,60
391,6.401,47,1,1,full,2,632,46,47,1,1,94,47,47,48
392,0.295,6,2,1,random,1,633,1,2,1,1,2,2,2,3
393,2.159,17,1,1,sparse,2,634,16,17,1,1,34,17,17,18
394,3.486,45,2,2,random,2,635,7,17,2,5,34,17,17,26
395,3.554,26,1,1,sparse,3,636,25,26,1,1,78,26,26,27
396,7.641,63,1,1,full,1,637,62,63,1,1,63,63,63,64
397,10.954,81,1,1,sparse,2,638,80,81,1,1,162,81,81,82
398,2.589,91,2,1,random,1,639,3,10,2,4,10,10,10,18
399,2.11,3,2,1,full,2,640,2,7,2,4,14,7,7,15
400,0.333,49,1,1,random,2,641,0,1,0,1,2,1,1,2
401,3.719,26,1,1,full,2,645,25,26,1,1,52,26,26,27
402,1.306,85,2,1,random,2,647,4,7,2,2,14,7,7,10
403,10.398,83,1,1,sparse,1,648,82,83,1,1,83,83,83,84
404,0.227,46,1,1,random,3,649,0,1,0,1,3,1,1,2
405,0.383,41,1,1,random,2,650,0,1,0,1,2,1,1,2
406,0.828,6,1,1,full,3,651,5,6,1,1,18,6,6,7
407,40.411,95,2,1,random,2,653,73,196,2,41,392,196,196,304
408,0.581,5,1,1,full,1,655,4,5,1,1,5,5,5,6
409,2.439,77,2,2,random,2,657,10,14,2,3,28,14,14,19
410,1.86,3,2,2,full,1,660,2,7,2,4,7,7,7,15
411,11.748,82,1,1,full,2,662,81,82,1,1,164,82,82,83
412,12.744,89,1,1,full,3,663,88,89,1,1,267,89,89,90
413,45.218,92,2,1,random,2,664,47,226,2,55,452,226,226,338
414,0.554,67,1,1,random,1,665,2,3,1,1,3,3,3,4
415,3.7,59,2,2,random,3,666,9,14,2,3,42,14,14,22
416,2.149,14,2,2,random,2,667,7,12,2,2,24,12,12,16
417,0.279,60,1,1,random,1,668,0,1,0,1,1,1,1,2
418,35.586,39,2,1,random,2,669,38,184,2,40,368,184,184,273
419,1.665,73,2,1,random,1,670,6,9,2,2,9,9,9,13
420,9.743,76,1,1,sparse,2,671,75,76,1,1,152,76,76,77
421,0.597,3,1,1,sparse,1,672,2,3,1,1,3,3,3,4
422,0.792,68,2,2,random,1,673,2,3,1,1,3,3,3,5
423,7.164,52,1,1,full,3,674,51,52,1,1,156,52,52,53
424,17.757,27,2,2,random,3,675,26,82,2,21,246,82,82,121
425,4.295,4,2,2,sparse,2,676,3,15,2,8,30,15,15,31
426,10.395,81,1,1,sparse,1,677,80,81,1,1,81,81,81,82
427,0.354,15,2,1,random,1,678,1,2,1,1,2,2,2,3
428,1.252,53,2,1,random,2,681,3,7,2,3,14,7,7,10
429,8.606,68,1,1,sparse,1,682,67,68,1,1,68,68,68,69
430,6.208,51,1,1,full,1,683,50,51,1,1,51,51,51,52
431,5.379,39,1,1,full,2,685,38,39,1,1,78,39,39,40
432,6.377,52,1,1,sparse,1,687,51,52,1,1,52,52,52,53
433,1.279,95,2,2,random,1,688,3,6,2,2,6,6,6,10
434,10.376,78,1,1,full,2,689,77,78,1,1,156,78,78,79
435,4.614,42,2,1,random,3,690,11,19,2,5,57,19,19,32
436,12.473,89,1,1,full,2,691,88,89,1,1,178,89,89,90
437,0.815,4,1,1,sparse,1,692,3,4,1,1,4,4,4,5
438,8.384,62,1,1,full,2,693,61,62,1,1,124,62,62,63
439,6.336,43,1,1,sparse,2,695,42,43,1,1,86,43,43,44
440,3.081,22,1,1,sparse,3,696,21,22,1,1,66,22,22,23
441,2.135,18,1,1,sparse,1,697,17,18,1,1,18,18,18,19
442,11.09,47,2,2,random,1,698,23,62,2,15,62,62,62,91
443,6.035,47,1,1,sparse,1,699,46,47,1,1,47,47,47,48
444,2.941,22,1,1,sparse,1,700,21,22,1,1,22,22,22,23
445,13.422,98,1,1,full,2,702,97,98,1,1,196,98,98,99
446,0.416,7,2,1,random,3,703,1,2,1,1,6,2,2,3
447,2.029,80,2,2,random,2,704,6,11,2,3,22,11,11,16
448,21.994,100,2,1,random,2,705,34,108,2,24,216,108,108,161
449,1.708,3,2,2,sparse,1,707,2,7,2,4,7,7,7,15
450,24.386,49,2,1,random,2,710,32,123,2,22,246,123,123,184
451,10.011,50,2,2,random,3,713,14,44,2,10,132,44,44,70
452,0.226,99,1,1,random,1,714,0,1,0,1,1,1,1,2
453,9.124,66,1,1,full,1,715,65,66,1,1,66,66,66,67
454,0.233,31,1,1,random,1,717,0,1,0,1,1,1,1,2
